fips,0-17,18-24,25-34,35-44,45-54,55-64,65-74,75-84,85+
01001,25941,11422,12315,13828,14000,12697,9594,5430,1945
01003,86587,37568,44133,46730,49675,52405,43252,23262,8854
01005,11057,6162,6603,5907,6490,6377,5255,2795,1074
01007,9671,5241,5788,5472,6707,5563,4270,2555,638
01009,25671,11360,12635,13570,14737,14123,12106,6560,2022
01011,4631,2590,2704,3152,2840,2869,2216,1050,538
01013,9162,4351,4649,4729,4635,5401,4030,2573,1108
01015,52425,27817,29347,27730,29019,31837,23399,12879,5098
01017,15439,7872,8189,8206,9034,10029,7693,4072,2257
01019,10627,4888,5052,5750,6871,7708,6586,3478,1025
01021,21001,8985,11424,11400,10770,11317,8624,4887,1650
01023,5586,3014,2632,2941,3632,3852,3360,1890,754
01025,11857,5806,5641,6005,6746,7099,5430,3163,1395
01027,6243,3176,2796,3462,3621,3918,3128,1888,728
01029,6512,2762,3097,3443,3596,3697,3185,1644,729
01031,21618,9482,11350,11667,11304,10885,8457,5081,1771
01033,24559,11860,13074,12965,13982,15169,11799,6853,2728
01035,5691,2926,2534,2823,3069,3844,3284,1738,699
01037,4495,2751,2157,3130,2856,3793,2704,1271,635
01039,16294,8013,8187,8211,9145,10187,8392,5299,2041
01041,5503,2543,2582,2916,3129,3316,2620,1370,613
01043,37519,17397,19913,19865,21163,21406,17957,9862,3575
01045,23130,11235,13274,11712,11507,12340,9477,5291,2171
01047,21810,10605,10033,9620,10360,11704,8494,4901,1629
01049,35330,15410,17260,18208,18050,18294,13914,7561,2553
01051,35735,17795,20196,20441,19814,19258,14074,7125,3047
01053,17319,9573,8981,9255,10047,9430,7778,4229,1755
01055,46639,23096,23704,26223,26337,27373,21767,11812,5224
01057,7456,3896,3777,3973,4483,4804,4074,2149,863
01059,15816,7743,7741,8282,8189,7583,6351,3579,1263
01061,11897,5273,6155,6310,6675,7192,5852,3768,1103
01063,4191,2025,2331,1820,2238,2878,2042,1265,537
01065,6817,3512,3180,3099,3712,4082,3012,1727,731
01067,7259,3591,3511,4152,4012,4900,4336,2061,1029
01069,38478,16154,20694,19957,20401,20278,15088,8527,3291
01071,23603,11006,11640,13097,13888,14900,12420,6224,2319
01073,308019,153039,183660,160716,163864,174269,119367,68901,31774
01075,6325,3118,3180,3419,3663,4289,3346,2301,745
01077,39243,25332,22047,20689,23088,24340,19975,11851,4799
01079,15047,7321,7942,8239,9600,9665,7202,3830,1455
01081,63603,58320,40819,34058,32591,30858,21602,11207,3964
01083,38730,16617,21610,22031,23286,21161,15417,8080,3137
01085,4815,2418,2448,2202,2733,2847,2421,1190,487
01087,7169,6929,4004,3808,4285,5107,3791,2072,1028
01089,147581,77607,87362,78125,91094,82561,56581,32346,12880
01091,10049,5310,4826,4882,5308,5915,4625,3035,1004
01093,13234,6453,6775,7401,8385,8252,7238,4156,1789
01095,43642,18368,21941,21936,21848,22243,17983,9663,3853
01097,193734,94950,106290,93181,98995,102401,73517,39726,16853
01099,10862,5464,4785,5402,5869,6427,4858,2796,1135
01101,107215,62181,64654,57018,55850,57977,39784,23545,9932
01103,54247,24484,28496,29081,30890,30330,22390,11891,5364
01105,5175,4006,1481,3054,2551,2810,2919,1418,583
01107,8346,4559,4807,4272,5356,5372,4159,2216,1165
01109,13062,14218,8678,6250,6256,6943,5513,3411,1083
01111,10195,5088,4644,5550,5516,6205,5005,2844,1346
01113,28405,13345,16904,13709,14094,13704,9540,5395,1889
01115,37778,15578,20137,21439,21943,20998,16438,8774,2796
01117,91026,38782,47159,51244,49649,47895,33384,17028,6542
01119,5895,5248,3147,2731,3058,3964,2866,1750,633
01121,35868,17556,19374,19570,20774,21461,16331,8219,3569
01123,18930,9408,9403,9471,10709,12341,10095,5163,2290
01125,82728,74809,54336,44524,42141,44674,29731,15389,7630
01127,29586,14247,15088,15669,16611,17980,14682,8279,3009
01129,8190,3942,4165,3806,4871,4845,3690,2139,793
01131,5585,3037,2514,2606,2563,3056,2414,1287,602
01133,10366,4928,5382,5679,6548,7140,5919,3241,1130
02013,595,669,691,887,1143,882,304,115,64
02016,1171,1060,1476,1348,1493,1107,514,108,52
02020,146531,76357,93887,72824,75189,72643,43229,19809,8582
02050,8273,2995,3647,2794,2928,2733,1489,614,249
02060,367,188,164,197,301,254,129,76,32
02068,618,541,648,456,566,470,251,109,36
02070,2164,956,1027,819,903,1063,490,256,103
02090,46699,30441,32060,23146,23432,23666,13492,5835,2311
02100,954,561,572,609,626,921,686,191,51
02105,720,364,343,408,600,768,473,147,76
02110,13605,6948,8304,7804,8312,8919,4938,1870,1092
02122,23789,11282,12609,11924,13641,16616,10753,4236,1892
02130,5005,2507,2838,2761,3200,3577,2138,928,458
02150,6548,2705,4138,3139,3368,3210,1796,787,268
02158,3658,1263,1463,896,1010,865,407,228,53
02164,570,235,260,201,331,350,98,52,31
02170,40953,17179,21119,19548,20562,20585,12096,5048,1634
02180,4516,1759,2013,1613,1630,1612,980,418,166
02185,3453,1585,2412,1747,2353,2235,647,321,96
02188,3601,1594,1716,1241,1214,1219,636,394,176
02195,1149,730,507,703,670,763,497,218,101
02198,2442,1157,1242,1240,1556,1749,976,444,157
02220,3649,1753,2405,2104,2191,2415,1525,802,461
02230,194,160,280,195,266,327,121,34,11
02240,2971,1299,1495,1497,1584,1664,1088,392,179
02261,4491,2437,2430,2221,2628,3111,1894,610,219
02275,870,364,443,348,629,785,442,400,89
02282,205,90,161,126,178,150,85,35,17
02290,2172,888,1067,894,1030,1164,806,409,170
04001,34315,15232,14666,13370,15170,15486,11235,6186,2630
04003,57999,28829,31305,25924,29016,34233,30340,17495,6512
04005,57517,53500,34006,28429,28794,31828,21596,10546,4235
04007,21950,10909,9885,9622,12710,17028,16112,8900,3280
04009,19361,9436,9986,8489,7681,7714,5909,3450,1410
04011,4516,2072,2312,2042,2006,2018,1224,1065,317
04012,7478,4415,3551,3512,4144,6069,8354,5473,1734
04013,1918441,929738,1069041,986814,960917,902368,686288,381044,169171
04015,77207,35986,39379,37779,47752,60183,59333,33795,11959
04017,52088,22502,22349,20582,22754,25465,20734,10519,4092
04019,414997,273165,228014,209350,216602,241618,197218,115392,49508
04021,180326,76538,94022,93435,82552,89078,85677,42722,14667
04023,25743,11793,10052,10211,10672,12047,9506,5448,1772
04025,78181,38053,40086,39112,48971,70363,66115,34026,14879
04027,99919,54370,49883,42201,41217,40878,38552,27571,8179
05001,8941,4246,4168,4521,4577,5293,3946,2376,1007
05003,9973,4876,4633,5205,5381,5678,4789,2722,992
05005,15231,6826,7874,7897,9565,12297,12865,7922,2945
05007,119665,46342,63053,60562,55188,49138,37470,20580,8617
05009,15962,7093,8103,8556,9227,9461,8039,4547,2147
